<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20120506,000000,12987,12987,12591,12900,296919,3776844819,59,12666,زاگرس,13910217,000000,12720,30960000000000,2400000000
ZAGROS,d,20120507,000000,12990,12990,12781,12945,88976,1150103782,38,12720,زاگرس,13910218,000000,12926,31068000000000,2400000000
ZAGROS,d,20120508,000000,12996,13299,12851,13250,212643,2761655654,83,12926,زاگرس,13910219,000000,12987,31800000000000,2400000000
ZAGROS,d,20120509,000000,13288,13289,12891,12891,74199,970080979,69,12987,زاگرس,13910220,000000,13074,30938400000000,2400000000
ZAGROS,d,20120512,000000,13300,13300,12500,12500,200047,2511883761,57,13074,زاگرس,13910223,000000,12556,30000000000000,2400000000
ZAGROS,d,20120513,000000,12700,12799,12200,12799,229692,2888704349,65,12556,زاگرس,13910224,000000,12576,30717600000000,2400000000
ZAGROS,d,20120514,000000,12660,12889,12653,12653,37893,481576591,19,12576,زاگرس,13910225,000000,12709,30367200000000,2400000000
ZAGROS,d,20120515,000000,13150,13150,12600,12680,372669,4706181560,60,12709,زاگرس,13910226,000000,12628,30432000000000,2400000000
ZAGROS,d,20120516,000000,12623,12849,12621,12701,73363,928196928,22,12628,زاگرس,13910227,000000,12652,30482400000000,2400000000
ZAGROS,d,20120519,000000,12789,12789,12450,12500,211582,2659638504,37,12652,زاگرس,13910230,000000,12570,30000000000000,2400000000
ZAGROS,d,20120520,000000,12402,12580,12200,12431,60569,751201122,40,12570,زاگرس,13910231,000000,12402,29834400000000,2400000000
ZAGROS,d,20120521,000000,12560,12560,12351,12356,332593,4124174891,55,12402,زاگرس,13910301,000000,12400,29654400000000,2400000000
ZAGROS,d,20120522,000000,12480,12480,12000,12000,209778,2534726226,45,12400,زاگرس,13910302,000000,12083,28800000000000,2400000000
ZAGROS,d,20120523,000000,12000,12095,11501,12000,187045,2220980287,90,12083,زاگرس,13910303,000000,11874,28800000000000,2400000000
